id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bleurt_score_a1,bleurt_score_a2
10,how did the stepmother and her daughter feel when they saw the man's daughter return ?,explicit,"' that is a good girl , ' said one ; ' i really was too weak to stretch out a wing before she came . i should like to do something to show how grateful i am . ' ' well , let us give her a wreath of flowers that will never fade as long as she wears it , ' cried another . ' and let the tiniest singing birds in the world sit amongst the flowers , ' rejoined the third . ' yes , that will do beautifully , ' said the first . and when the girl stepped into her cottage a wreath of rosebuds was on her he",envious .,envious .,jealous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30934850332660563,"[0.5, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.30934850332660563,"[0.5, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.056498975,0.056498975
11,what did the wizard promise to the nurse and princess ?,explicit,"' the king of granada is my father , and i was born in the palace which overlooks the plain of the vega . i was only a few months old when a wicked fairy , who had a spite against my parents , cast a spell over me , bending my back and wrinkling my skin till i looked as if i was a hundred years old , and making me such an object of disgust to everyone , that at length the king ordered my nurse to take my away from the palace . she was the only person who cared about me , and we lived together in",before her fifteenth birthday she should be freed from the enchantment if she could get a man who would swear to marry me as she was .,before her fifteenth birthday she should be freed from the enchantment if she could get a man who would swear to marry her as she was .,They would be freed from the enchantment,0.36363636363636365,0.25806451612903225,0.30303030303030304,0.30303030303030304,0.36363636363636365,0.25806451612903225,0.30303030303030304,0.30303030303030304,0.04061099454543739,"[0.875, 0.7142857142857143, 0.6666666666666666, 0.6]",0.05743261926761735,0.25925925925925924,7,27,0.04061099454543739,"[0.875, 0.7142857142857143, 0.6666666666666666, 0.6]",0.05743261926761735,0.25925925925925924,7,27,-1.367181,-1.3018059
12,how did the three daughters of the landlord feel when they saw the goose ?,explicit,"then dullhead fell to at once to hew down the tree , and when it fell he found amongst its roots a goose , whose feathers were all of pure gold . he lifted it out , carried it off , and took it with him to an inn where he meant to spend the night . now the landlord of the inn had three daughters , and when they saw the goose they were filled with curiosity as to what this wonderful bird could be , and each longed to have one of its golden feathers . the eldest thought to herself : ' no doubt i s",curious .,curious .,They were filled with curiosity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,2.5,5,2,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,2.5,5,2,-0.073598,-0.073598
13,where was the monkey island ?,explicit,"then the doctor told the dragon king that some distance to the south there was a monkey island where a great many monkeys lived . "" if only you could capture one of these monkeys ? "" said the doctor . "" how can any of my people capture a monkey ? "" said the dragon king , greatly puzzled . "" the monkeys live on dry land , while we live in the water ; and out of our element we are quite powerless ! i do n't see what we can do ! "" "" that has been my difficulty too , "" said the doctor . "" but amongs",some distance south .,some distance to the south .,The doctor told the dragon king that some distance to the south there was a monkey island where a great many monkeys lived .,0.23076923076923078,0.08333333333333334,0.23076923076923078,0.23076923076923078,0.3571428571428571,0.3076923076923077,0.3571428571428571,0.3571428571428571,0.07575731225158963,"[0.2, 0.08333333333333333, 0.043478260869565216, 0.045454545454545456]",1.0,6.0,24,4,0.1928576545653753,"[0.28, 0.20833333333333334, 0.17391304347826086, 0.13636363636363635]",1.0,4.0,24,6,-1.180065,-1.073833
14,where did harold go to after he received the love-potion ?,explicit,"snorro saw that he was in earnest , so without a word he entered his dwelling , and in a few minutes returned with a small phial in his hand , which was full of a rosy liquid . "" pour the contents of this into the lady morna 's wine - cup , "" he said , "" and i warrant thee that before four - and - twenty hours have passed she will love thee better than thou lovest her now . "" then he waved his hand , as if to dismiss his visitor , and disappeared into his dwelling - place . earl harold made all ",the castle .,the castle .,the lady morna 's wine - cup,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.18575057999133598,"[0.25, 0.14285714285714285, 0.16666666666666666, 0.2]",1.0,2.3333333333333335,7,3,0.18575057999133598,"[0.25, 0.14285714285714285, 0.16666666666666666, 0.2]",1.0,2.3333333333333335,7,3,-1.3558457,-1.3558457
15,what did the troll-folk do because the saw that the schooner was banned on the shore ?,explicit,"the fiddler knew neither rest nor repose , and did not pass his cap , but played merrily on with his left hand , and beat time with his foot , until he was dripping with sweat , and the fiddle was hidden by the dust and smoke . when andrew noticed that his own feet began to twitch where he was standing , he thought to himself : "" now i had better shoot away , or else he will play me right off the ground ! "" so he turned his gun , thrust it through the window , and shot it off over the bride 's h",wailed and crept into a hole in the hill .,they wailed and crept into a hole in the hill .,They wailed and crept into a hole in the hill,0.9473684210526316,0.9411764705882353,0.9473684210526316,0.9473684210526316,1.0,1.0,1.0,1.0,0.8931539818068694,"[0.9090909090909091, 0.9, 0.8888888888888888, 0.875]",1.0,1.0,10,10,0.8081591428066641,"[0.9090909090909091, 0.9, 0.8888888888888888, 0.875]",0.9048374180359595,0.9090909090909091,10,11,0.598932,1.0574912
16,where did the widowed mistress find the cruel fairy ?,explicit,"now in this fir wood there was an old quarry hole , in the bottom of which was a bonnie spring well , the water of which was always sweet and pure . the young widow was walking near this quarry hole , when , to her astonishment , she heard the whirr of a spinning - wheel and the sound of a voice lilting a song . at first she could not think where the sound came from ; then , remembering the quarry , she laid down her child at a tree root , and crept noiselessly through the bushes on her hands an",at the bottom of the quarry .,at the bottom of the quarry .,the quarry,0.5,0.33333333333333337,0.5,0.5,0.5,0.33333333333333337,0.5,0.5,0.0820849986238988,"[1.0, 1.0, 1.0, 1.0]",0.0820849986238988,0.2857142857142857,2,7,0.0820849986238988,"[1.0, 1.0, 1.0, 1.0]",0.0820849986238988,0.2857142857142857,2,7,-0.5071174,-0.5071174
17,"what happened because there were great, ugly rats by the thousands ?",explicit,"here he again sold his cat , and this time he received two hundred dollars for her , and that without any haggling . but when he had sailed off and was out at sea a way , there sat the cat up in the mast . and the storm at once began again , and finally he was again driven to a land in which he had never been . again he turned in at a tavern , and there the table was also covered with switches ; but every switch was a yard and a half long , and as thick as a small broom , and the people told him",only with toil and trouble could one manage to shove a bite of something into one 's mouth once in a while .,only with toil and trouble could one manage to shove a bite of something into one 's mouth once in a while .,The people told him that they knew nothing more disagreeable than to sit down to eat,0.052631578947368425,0.0,0.052631578947368425,0.052631578947368425,0.052631578947368425,0.0,0.052631578947368425,0.052631578947368425,0.04966570600299737,"[0.11764705882352941, 0.0625, 0.06666666666666667, 0.07142857142857142]",0.645648526427892,0.6956521739130435,16,23,0.04966570600299737,"[0.11764705882352941, 0.0625, 0.06666666666666667, 0.07142857142857142]",0.645648526427892,0.6956521739130435,16,23,-0.968646,-0.968646
18,what did the big demon hand the man ?,explicit,"when the old man had finished his dance , the big demon said : "" thank you very much for your amusing dance . now give us the pleasure of drinking a cup of wine with us , "" and with these words he handed him his largest wine - cup .",his largest wine - cup .,his largest wine - cup .,his largest wine - cup,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8187307530779819,"[1.0, 1.0, 1.0, 1.0]",0.8187307530779819,0.8333333333333334,5,6,0.8187307530779819,"[1.0, 1.0, 1.0, 1.0]",0.8187307530779819,0.8333333333333334,5,6,0.8979664,0.8979664
19,how was andrew able to creep to the look-out at the side of the roof and climb down without being noticed ?,explicit,"they filled it completely and more , and still more of them came in . then the walls began to crack , and the little hut spread out at all corners , and grew so splendid and magnificent that the wealthiest merchant could not have had its equal ; it was almost like being in a royal castle . tables were covered with the most exquisite silver and gold . when they had eaten they began to dance . under cover of the noise , andrew crept to the look - out at the side of the roof , and climbed down . th",under cover of the noise .,under cover of the noise .,andrew crept to the look-out at the side of the roof and climbed down without being noticed,0.1739130434782609,0.09523809523809523,0.1739130434782609,0.1739130434782609,0.1739130434782609,0.09523809523809523,0.1739130434782609,0.1739130434782609,0.09507244120026236,"[0.16666666666666666, 0.11764705882352941, 0.0625, 0.06666666666666667]",1.0,2.8333333333333335,17,6,0.09507244120026236,"[0.16666666666666666, 0.11764705882352941, 0.0625, 0.06666666666666667]",1.0,2.8333333333333335,17,6,-0.96456087,-0.96456087
20,who was a charming young irish lady ?,explicit,"and while he was at court he met a charming young irish lady , the lady morna , who had come from ireland to scotland to attend upon the scottish queen . she was so sweet , and good , and gentle that earl harold 's heart was won , and he made up his mind that she , and only she , should be his bride . but although he had paid her much attention , lady morna had sometimes caught glimpses of his jealous temper ; she had seen an evil expression in his eyes , and had heard him speak sharply to his s",the lady morna .,the lady morna .,the lady morna,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7165313105737893,"[1.0, 1.0, 1.0, 1.0]",0.7165313105737893,0.75,3,4,0.7165313105737893,"[1.0, 1.0, 1.0, 1.0]",0.7165313105737893,0.75,3,4,0.6938863,0.6938863
21,what have the three brothers been fighting over ?,explicit,""" well , "" said the man , "" i will lend you a pair of snowshoes . when you stand in them you will come to my brother , who lives a hundred miles further on . he is the lord of all the fishes in the sea . ask him . but do not forget to turn the snowshoes around again . "" the king thanked him , stepped into the snowshoes , and when he came to the one who was lord of all the fishes in the sea , he turned them around , and they ran back like the others . there he once more asked about whiteland . th","a hat , a cloak and a pair of boots .","about a hat , a cloak , and a pair of boots .","A hat , a cloak and a pair of boots",1.0,1.0,1.0,1.0,0.9473684210526316,0.9411764705882353,0.9473684210526316,0.9473684210526316,0.8081591428066641,"[0.9090909090909091, 0.9, 0.8888888888888888, 0.875]",0.9048374180359595,0.9090909090909091,10,11,0.5198232105384318,"[0.9090909090909091, 0.8, 0.6666666666666666, 0.5]",0.740818220681718,0.7692307692307693,10,13,0.9650859,0.13611093
22,what did the widowed mistress do as the old woman drew near ?,explicit,"and as the poor young thing , after having a good cry to herself , was drying her eyes , she chanced to look down the hill , and who should she see coming up it but an old woman , who looked like a lady born . she was dressed all in green , with a white apron , and she wore a black velvet hood on her head , and a steeple - crowned beaver hat over that , something like those , as i have heard tell , that the women wear in wales . she walked very slowly , leaning on a long staff , and she gave a b",rise and curtsey to the gentlewoman .,curtsey .,The widowed mistress wore a white apron .,0.15384615384615383,0.0,0.15384615384615383,0.15384615384615383,0.0,0.0,0.0,0.0,0.16036590969929357,"[0.2222222222222222, 0.125, 0.14285714285714285, 0.16666666666666666]",1.0,1.1428571428571428,8,7,0.16036590969929357,"[0.2222222222222222, 0.125, 0.14285714285714285, 0.16666666666666666]",1.0,4.0,8,2,-1.364361,-1.5946906
23,who looked like a lady born ?,explicit,"and as the poor young thing , after having a good cry to herself , was drying her eyes , she chanced to look down the hill , and who should she see coming up it but an old woman , who looked like a lady born . she was dressed all in green , with a white apron , and she wore a black velvet hood on her head , and a steeple - crowned beaver hat over that , something like those , as i have heard tell , that the women wear in wales . she walked very slowly , leaning on a long staff , and she gave a b",an old woman .,old woman .,old woman,0.8,0.6666666666666666,0.8,0.8,1.0,1.0,1.0,1.0,0.36787944117144233,"[1.0, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,2,4,0.6065306597126334,"[1.0, 1.0, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,0.37393838,0.829093
24,what happened when the cottager threw the hat on the bench ?,explicit,"the man was invisible , for what he had found was a huldre hat . "" what are you talking about ? ca n't you see me ? have you lost your wits ? "" asked the man . "" there is an old hair strainer for you . i found it outside on the ground , "" said he , and he threw it on the bench . and then his wife saw him ; but at the same moment the hat of the huldres disappeared , for he should only have loaned it , not given it away . now the man saw how everything had come about , and went back to the wedding",his wife saw him but at the same moment the hat of the huldres disappeared .,his wife saw him .,The huldres disappeared,0.33333333333333337,0.25,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.009279877584343722,"[0.75, 0.6666666666666666, 0.5, 1.0]",0.013123728736940968,0.1875,3,16,0.23196236872272216,"[0.25, 0.3333333333333333, 0.5, 1.0]",0.513417119032592,0.6,3,5,-1.262497,-0.95106715
25,how did the lord of all the beasts try to help the young king ?,explicit,"then the young king grew very sad , and went about day in , day out , with no other thought than getting back to his queen . "" i must try and see whether i can not find out where whiteland is , "" thought he , and wandered forth into the wide world . after he had gone a while he came to a hill ; and there he met one who was the lord of all the beasts of the forest -- for they came when he blew his horn -- and him the king asked where whiteland was . "" that i do not know , "" said he , "" but i will",asked his beasts whether any of them knew where whiteland might be .,he asked whether any of the beasts knew where whiteland might be .,The lord of all the beasts tried to help the young king .,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.25,0.09090909090909091,0.25,0.25,0.1135935489027116,"[0.2857142857142857, 0.07692307692307693, 0.08333333333333333, 0.09090909090909091]",1.0,1.0,13,13,0.14283632578659286,"[0.35714285714285715, 0.15384615384615385, 0.08333333333333333, 0.09090909090909091]",1.0,1.0,13,13,-0.9896499,-0.9457691
26,how did the princess recognize ian ?,explicit,"so the gallows was built upon a high platform , and the fisher 's son mounted the steps up to it , and turned at the top to make the speech that was expected from every doomed man , innocent or guilt . as he spoke he happened to raise his arm , and the king 's daughter , who was there at her father 's side , saw the name which she had written under it . with a shriek she sprang from her seat , and the eyes of the spectators were turned towards her . ' stop ! stop ! ' she cried , hardly knowing w",the king 's daughter saw the name which she had written under it .,she saw the name which she had written .,she was a thief,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.02949347753605095,"[0.4, 0.25, 0.3333333333333333, 0.5]",0.0820849986238988,0.2857142857142857,4,14,0.10294235160901445,"[0.4, 0.25, 0.3333333333333333, 0.5]",0.2865047968601901,0.4444444444444444,4,9,-1.4676454,-1.4455228
27,what did the gentleman do for the next few weeks ?,explicit,"it took some time to discover the whereabouts of the old woman , but at length it was accomplished , and when she arrived at the palace with the equerry , she was received with royal honours , as became the bride of the prince . the guards looked at each other with astonished eyes , as the wizened creature , bowed with age , passed between their lines ; but they were more amazed still at the lightness of her step as she skipped up the steps to the great door before which the king was standing , ","spent all his days in hunting , and trying to forget the old wife at home .",spend all his days in hunting .,The gentleman did n't want to forget the old wife .,0.3846153846153846,0.3333333333333333,0.3846153846153846,0.3846153846153846,0.0,0.0,0.0,0.0,0.25131610094697543,"[0.5833333333333334, 0.45454545454545453, 0.4, 0.3333333333333333]",0.5795782787848095,0.6470588235294118,11,17,0.11390778025531027,"[0.16666666666666666, 0.09090909090909091, 0.1, 0.1111111111111111]",1.0,1.5714285714285714,11,7,-0.9557196,-1.4311197
28,why did his brother value the hook above all other things ?,explicit,"he now began to feel extremely anxious , for he knew that his brother would be angry at his having lost his hook , for , it being his only one , he valued it above all other things . the happy hunter now set to work to look among the rocks and on the sand for the lost hook , and while he was searching to and fro , his brother , the skillful fisher , arrived on the scene . he had failed to find any game while hunting that day , and was not only in a bad temper , but looked fearfully cross . when ",it was his only one .,it was his only one .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18796001821050234,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.8187307530779819,0.8333333333333334,5,6,0.18796001821050234,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.8187307530779819,0.8333333333333334,5,6,-0.78945464,-0.78945464
29,why didn't lady morna wish to marry harold ?,explicit,"and while he was at court he met a charming young irish lady , the lady morna , who had come from ireland to scotland to attend upon the scottish queen . she was so sweet , and good , and gentle that earl harold 's heart was won , and he made up his mind that she , and only she , should be his bride . but although he had paid her much attention , lady morna had sometimes caught glimpses of his jealous temper ; she had seen an evil expression in his eyes , and had heard him speak sharply to his s","lady morna had sometimes caught glimpses of his jealous temper ; she had seen an evil expression in his eyes , and had heard him speak sharply to his servants .",she caught glimpses of his jealous temper ; seen an evil expression in his eyes and had hear him speak sharply to his servants .,she had seen an evil expression in his eyes and had heard him speak sharply to his servants,0.782608695652174,0.7727272727272727,0.782608695652174,0.782608695652174,0.7804878048780488,0.6666666666666667,0.7804878048780488,0.7804878048780488,0.44055831768636433,"[1.0, 0.9444444444444444, 0.8823529411764706, 0.8125]",0.4856717852477124,0.5806451612903226,18,31,0.5045433654414176,"[0.8947368421052632, 0.7777777777777778, 0.7058823529411765, 0.625]",0.6778095780054504,0.72,18,25,-0.023803145,0.024927855
30,what did the good old man have growing in his right cheek ?,explicit,"many , many years ago there lived a good old man who had a wen like a tennis - ball growing out of his right cheek . this lump was a great disfigurement to the old man , and so annoyed him that for many years he spent all his time and money in trying to get rid of it . he tried everything he could think of . he consulted many doctors far and near , and took all kinds of medicines both internally and externally . but it was all of no use . the lump only grew bigger and bigger till it was nearly a",a wen .,a wen .,The good old man had a wen like a tennis ball growing out of his right cheek .,0.21052631578947367,0.11764705882352941,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.11764705882352941,0.21052631578947367,0.21052631578947367,0.09629943614188137,"[0.21052631578947367, 0.1111111111111111, 0.058823529411764705, 0.0625]",1.0,6.0,18,3,0.09629943614188137,"[0.21052631578947367, 0.1111111111111111, 0.058823529411764705, 0.0625]",1.0,6.0,18,3,-1.2119708,-1.2119708
31,who was hohodemi ?,explicit,"long , long ago japan was governed by hohodemi , the fourth mikoto ( or augustness ) in descent from the illustrious amaterasu , the sun goddess . he was not only as handsome as his ancestress was beautiful , but he was also very strong and brave , and was famous for being the greatest hunter in the land . because of his matchless skill as a hunter , he was called "" yama - sachi - hiko "" or "" the happy hunter of the mountains . """,the fourth mikoto ( or augustness ) in descent from the illustrious amaterasu .,the fourth mikoto .,"the fourth mikoto ( or augustness ) in descent from the illustrious amaterasu , the sun goddess",0.88,0.8695652173913044,0.88,0.88,0.35294117647058826,0.2666666666666667,0.35294117647058826,0.35294117647058826,0.7562722459724603,"[0.7777777777777778, 0.7647058823529411, 0.75, 0.7333333333333333]",1.0,1.2142857142857142,17,14,0.13445273575332958,"[0.2222222222222222, 0.17647058823529413, 0.125, 0.06666666666666667]",1.0,4.25,17,4,0.3284631,-0.98360395
32,"who was called salmon, and his christian name was matte ?",explicit,"there was once a fisherman who was called salmon , and his christian name was matte . he lived by the shore of the big sea ; where else could he live ? he had a wife called maie ; could you find a better name for her ? in winter they dwelt in a little cottage by the shore , but in spring they flitted to a red rock out in the sea and stayed there the whole summer until it was autumn . the cottage on the rock was even smaller than the other ; it had a wooden bolt instead of an iron lock to the doo",a fisherman .,a fisherman .,fisherman,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.1353352832366127,"[1.0, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.1353352832366127,"[1.0, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.0063464046,0.0063464046
33,why didn't matte want to set the net on saturday night ?,explicit,"' what are you thinking of ? ' asked matte . ' nothing , ' said his wife ; but all the time she was pondering over some magic rhymes she had heard in her childhood from an old lame man , which were supposed to bring luck in fishing . ' what if i were to try ? ' thought she . now this was saturday , and on saturday evenings matte never set the herring - net , for he did not fish on sunday . towards evening , however , his wife said : ' let us set the herring - net just this once . '",he did not fish on sunday .,he did not fish on sunday .,matte did not fish on sunday,0.8333333333333334,0.8000000000000002,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8000000000000002,0.8333333333333334,0.8333333333333334,0.6848940448305334,"[0.8571428571428571, 0.8333333333333334, 0.8, 0.75]",0.846481724890614,0.8571428571428571,6,7,0.6848940448305334,"[0.8571428571428571, 0.8333333333333334, 0.8, 0.75]",0.846481724890614,0.8571428571428571,6,7,0.313496,0.313496
