id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bertscore_f1_a1,bertscore_f1_a2,bleurt_score_a1,bleurt_score_a2
10,what did harold do after paul calmed him down ?,explicit,"at these words harold 's vanity was flattered , and he thought that , after all , his step - brother was right , and that he had a very small chance , with his meagre gift of speech , of being successful in his suit . so he threw down his dagger , and , shaking hands with him , begged him to pardon his unkind thoughts , and went down the winding stair again in high good - humour with himself and all the world . by this time it was coming near to the feast of yule , and at that festival it was th","threw down his dagger , and , shaking hands with him , begged him to pardon his unkind thoughts , and went down the winding stair again in high good - humour with himself and all the world .","he threw down his dagger , and shaking hands with him , begged him to pardon his unkind thoughts .",he did n't want to,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,0.1739130434782609,0.0,0.1739130434782609,0.1739130434782609,0.00030407407674979705,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.0011137751478448024,0.1282051282051282,5,39,0.01504254234731835,"[0.5, 0.2, 0.25, 0.3333333333333333]",0.049787068367863944,0.25,5,20,0.7973796725273132,0.8224357962608337,-1.5313855,-1.3605242
11,who did the queen confess the truth to ?,explicit,"the hall was full to overflowing when the prisoner entered it , and all marvelled at the brightness of his face . the king inquired if he had any excuse to plead for the high treason he had committed by striking the heir to the throne , and , if so , to be quick in setting it forth . with a low bow the youth made answer in a clear voice : ' o my lord and gracious king , and you , nobles and wise men of the land , i leave my cause without fear in your hands , knowing that you will listen and judg",the priest .,a priest .,Priest,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.11380295453101374,"[0.5, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.11380295453101374,"[0.5, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.8573088049888611,0.8417046070098877,-0.018589478,-0.009201869
12,what did molo do after he escaped ?,explicit,"so he ordered a hundred armored soldiers , with bows and swords , to surround the house of the youth , and under all circumstances to take molo captive . but molo drew his dagger and flew up the high wall . thence he looked about him like a hawk . the arrows flew as thick as rain , but not one hit him . and in a moment he had disappeared , no one knew where . yet ten years later one of his former master 's servants ran across him in the south , where he was selling medicine . and he looked exact",sold medicine .,he was selling medicine .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,1.6666666666666667,5,3,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,1.0,5,5,0.8453544974327087,0.8440905213356018,-1.5924158,-1.3283391
13,where did the princess fall asleep ?,explicit,"besides these , i want a cloak made of a thousand different kinds of skin ; every animal in your kingdom must give a bit of his skin to it . ' but she thought to herself , ' this will be quite impossible , and i shall not have to marry someone i do not care for . ' the king , however , was not to be turned from his purpose , and he commanded the most skilled maidens in his kingdom to weave the three dresses , one as golden as the sun , and one as silver as the moon , and one as shining as the st",inside a hollow tree .,inside a hollow tree .,Inside a hollow tree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5208154731870476,"[0.8, 0.75, 0.6666666666666666, 0.5]",0.7788007830714049,0.8,4,5,0.5208154731870476,"[0.8, 0.75, 0.6666666666666666, 0.5]",0.7788007830714049,0.8,4,5,0.9640626311302185,0.9640626311302185,0.8525972,0.8525972
14,how did the women feel when they saw the jewel ?,explicit,"the two ladies took the cup , and looking into it to see what he had put inside - for they did not yet know what it was - they gave a start of surprise , for there lay a beautiful gem at the bottom of the cup . "" no ordinary mortal would give away a jewel so freely . will you not honor us by telling us who you are ? "" said the elder damsel . "" certainly , "" said the happy hunter , "" i am hohodemi , the fourth mikoto , also called in japan , the happy hunter . """,surprised .,surprised .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,2.5,5,2,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,2.5,5,2,0.8480508923530579,0.8480508923530579,-1.3544348,-1.3544348
15,how did the doctor feel when he was blamed by the king ?,explicit,"then the dragon king interviewed the doctor and blamed him for not curing the queen . the doctor was alarmed at rin jin 's evident displeasure , and excused his want of skill by saying that although he knew the right kind of medicine to give the invalid , it was impossible to find it in the sea . "" do you mean to tell me that you ca n't get the medicine here ? "" asked the dragon king . "" it is just as you say ! "" said the doctor . "" tell me what it is you want for the queen ? "" demanded rin jin ",alarmed .,alarmed .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,2.5,5,2,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,2.5,5,2,0.8480014204978943,0.8480014204978943,-1.3319749,-1.3319749
16,what did mikoto do when he was discovered ?,explicit,"when the mikoto saw that he was discovered , he sprang down lightly from the tree and said : "" i am a traveler , and as i was very thirsty i came to the well in the hopes of quenching my thirst , but i could find no bucket with which to draw the water . so i climbed into the tree , much vexed , and waited for some one to come . just at that moment , while i was thirstily and impatiently waiting , you noble ladies appeared , as if in answer to my great need . therefore i pray you of your mercy gi",sprang down lightly from the tree .,he sprang down lightly from the tree .,He sprang down lightly from the tree,0.923076923076923,0.9090909090909091,0.923076923076923,0.923076923076923,1.0,1.0,1.0,1.0,0.8408964152537145,"[0.875, 0.8571428571428571, 0.8333333333333334, 0.8]",1.0,1.0,7,7,0.7289545183625967,"[0.875, 0.8571428571428571, 0.8333333333333334, 0.8]",0.8668778997501817,0.875,7,8,0.9487569332122803,0.9861076474189758,0.39924547,1.0481673
17,what did the king see when he saw the many-furred creature ?,explicit,"the many - furred creature now ran into the kitchen , cooked the king 's bread - soup , and when the cook had gone , she laid the gold reel in the dish . when the king found the reel at the bottom , he had the many - furred creature brought to him , and then he saw the white finger , and the ring which he had put on her hand in the dance . then he took her hand and held her tightly , and as she was trying to get away , she undid the fur - cloak a little bit and the star - dress shone out . the k",the white finger .,he saw the white finger .,white finger,0.8,0.6666666666666666,0.8,0.8,0.5714285714285715,0.4,0.5714285714285715,0.5714285714285715,0.36787944117144233,"[1.0, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,2,4,0.1353352832366127,"[1.0, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,2,6,0.9155056476593018,0.8907607197761536,0.3460771,-0.35787833
18,what happened after ian entered the church again ?,explicit,"then he awoke , and the dark lad told him what had befallen him , and he was very grieved . but the dark lad did not tell him of the name that was written underneath his arm . on the following morning the fisher 's son again went to the church , determined that he would not go to sleep , whatever happened . but in his hurry to enter he touched with his hand the spike of hurt , and sank down where he stood , wrapped in slumber . a second time the air was filled with music , and the lady came in ,","he touched with his hand the spike of hurt , and sank down where he stood , wrapped in slumber .",he touched with his hand the spike of hurt .,The fisher 's son went to the church,0.07692307692307691,0.0,0.07692307692307691,0.07692307692307691,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.03157791992453241,"[0.2222222222222222, 0.125, 0.14285714285714285, 0.16666666666666666]",0.19691167520419406,0.38095238095238093,8,21,0.12489309605176803,"[0.2222222222222222, 0.125, 0.14285714285714285, 0.16666666666666666]",0.7788007830714049,0.8,8,10,0.8305925726890564,0.8384763598442078,-1.3208842,-1.3514382
19,where did the dragon's old mother live ?,explicit,"and so the prince wandered on for another year , always on the same road , and at last reached the hut where he found the third old man . he put the same question to him as he had put to his son and grandson ; but this time the old man answered , ' the dragon lives up there on the mountain , and he has just begun his year of sleep . for one whole year he is always awake , and the next he sleeps . but if you wish to see the flower queen 's daughter go up the second mountain : the dragon 's old mo",second mountain .,the second mountain .,On the mountain,0.4,0.0,0.4,0.4,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.537284965911771,"[0.5, 0.3333333333333333, 0.5, 1.0]",1.0,1.0,3,3,0.4260520663282873,"[0.75, 0.3333333333333333, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.9060201048851013,0.8925917744636536,-0.9910552,-1.0650095
20,who wore a torn cap and tattered robe stepped up to his car and asked for one ?,explicit,"once upon a time there was a farmer who had carted pears to market . since they were very sweet and fragrant , he hoped to get a good price for them . a bonze with a torn cap and tattered robe stepped up to his cart and asked for one . the farmer repulsed him , but the bonze did not go . then the farmer grew angry and began to call him names . the bonze said : "" you have pears by the hundred in your cart . i only ask for one . surely that does you no great injury . why suddenly grow so angry abo",a bonze .,a bonze .,the farmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38753858253732953,"[0.3333333333333333, 0.5, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,0.38753858253732953,"[0.3333333333333333, 0.5, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,0.8235870003700256,0.8235870003700256,-1.2519177,-1.2519177
21,why did the old king feel disapointed at his son's choice of a wife ?,explicit,"' i live in a hut on the edge of the forest , ' she answered , blushing , for she had never spoken to a prince before . ' as to the wreath , i know not how it came there , unless it may be the gift of some doves whom i fed when they were starving ! ' the prince was delighted with this answer , which showed the goodness of the girl 's heart , and besides he had fallen in love with her beauty , and would not be content till she promised to return with him to the palace , and become his bride . the",he wished him to marry a neighboring princess .,he wished him to marry a neighbouring princess .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1031546451143688,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.4493289641172217,0.5555555555555556,5,9,0.1031546451143688,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.4493289641172217,0.5555555555555556,5,9,0.8281830549240112,0.8299849629402161,-1.3006916,-1.2526596
22,why didn't snorro the dwarf want to help countess fraukirk ?,explicit,"countess fraukirk ... hidden behind a curtain ... overheard every word . ] next day a boat went speeding over the narrow channel of water that separates pomona ( on the mainland ) from hoy . in it sat a woman , but who she was , or what she was like , no one could say , for she was covered from head to foot with a black cloak , and her face was hidden behind a thick , dark veil . snorro the dwarf knew her , even before she laid aside her trappings , for countess fraukirk was no stranger to him .",an earl 's death was a weighty matter .,snorro is not brave enough to kill a well - loved earl .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1031546451143688,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.4493289641172217,0.5555555555555556,5,9,0.04635036983311895,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.20189651799465547,0.38461538461538464,5,13,0.8328424096107483,0.8240209817886353,-1.320791,-1.5222853
23,why did the youth want to travel home ?,explicit,"but when he came out in the morning , the princesses were out of the ground up to their ankles . the third night came a troll who had nine heads and nine whips , and he beat and whipped the youth so severely that at last he fainted . then the troll took him and flung him against the wall , and as he did so the bottle fell down , and its whole contents poured over the youth , and he was at once sound and whole again . then he did not delay , but grasped the sword , killed the troll , and when he ",see how his parents fared .,to see how his parents fared .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18796001821050234,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.8187307530779819,0.8333333333333334,5,6,0.15388864725803575,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.6703200460356393,0.7142857142857143,5,7,0.8435302376747131,0.8378151655197144,-1.3761687,-1.4434983
24,what will countess fraukirk do after snorro the dwarf declined her request ?,explicit,"countess fraukirk ... hidden behind a curtain ... overheard every word . ] next day a boat went speeding over the narrow channel of water that separates pomona ( on the mainland ) from hoy . in it sat a woman , but who she was , or what she was like , no one could say , for she was covered from head to foot with a black cloak , and her face was hidden behind a thick , dark veil . snorro the dwarf knew her , even before she laid aside her trappings , for countess fraukirk was no stranger to him .","offer him much gold , and bribe him higher and higher .",offer him gold .,gold,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.5,0.0,0.5,0.5,1.670170079024566e-05,"[1.0, 1.0, 1.0, 1.0]",1.670170079024566e-05,0.08333333333333333,1,12,0.049787068367863944,"[1.0, 1.0, 1.0, 1.0]",0.049787068367863944,0.25,1,4,0.8075397610664368,0.8321017622947693,-1.8903204,-1.1656663
25,what animals did the couple own ?,explicit,"there was once an old man and his wife , who lived in a dear little cottage by the side of a burn . they were a very canty and contented couple , for they had enough to live on , and enough to do . indeed , they considered themselves quite rich , for , besides their cottage and their garden , they possessed two sleek cows , five hens and a cock , an old cat , and two kittens . the old man spent his time looking after the cows , and the hens , and the garden ; while the old woman kept herself bus","two sleek cows , five hens and a cock , an old cat , and two kittens .","two sleek cows , five hens and a cock , and old cat and two kittens .",cows,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,4.139937718785167e-08,"[1.0, 1.0, 1.0, 1.0]",4.139937718785167e-08,0.05555555555555555,1,18,1.1253517471925912e-07,"[1.0, 1.0, 1.0, 1.0]",1.1253517471925912e-07,0.058823529411764705,1,17,0.795970618724823,0.8092093467712402,-2.0208974,-2.0321848
26,why did the mother tell her daughter not to speak ?,explicit,"her plan was this . in the town where she had lived before she was married there was an old witch , who had more skill in magic that any other witch she knew . to this witch she would go and beg her to make her a mask with the face of her stepdaughter , and when she had the mask the rest would be easy . she told her daughter what she meant to do , and although the daughter could only say ' dirty creatures , ' in answer , she nodded and smiled and looked well pleased . ' rest your cheek on your h",the daughter could only say ' dirty creatures ' .,the daughter could only say ' dirty creatures . ' .,balsams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010377486186365205,"[0.5, 1.0, 1.0, 1.0]",0.00012340980408667956,0.1,1,10,3.817663819004394e-05,"[0.5, 1.0, 1.0, 1.0]",4.5399929762484854e-05,0.09090909090909091,1,11,0.7848188281059265,0.776688814163208,-1.5607542,-1.5856576
27,why did harold lose faith in snorro's charm ?,explicit,"his cheeks were red with passion , and his eyes were bright , for he could not but notice that , now that she was safe at orphir under her true love 's protection , the lady morna 's manner had grown cold and distant again , and he was beginning to lose faith in snorro 's charm . angry and disappointed , he had sought his mother 's room to pour out his story of vexation to her . he stopped short , however , when he saw the wonderful waistcoat lying on the table , all gold and silver and shining ",lady morna 's manner had grown cold and distant again .,the lady morna 's manner had grown cold and distant again .,The lady morna was in love with her .,0.22222222222222224,0.125,0.22222222222222224,0.22222222222222224,0.3157894736842105,0.23529411764705882,0.3157894736842105,0.3157894736842105,0.15982877755018768,"[0.4, 0.2222222222222222, 0.125, 0.14285714285714285]",0.8007374029168082,0.8181818181818182,9,11,0.1430210741102858,"[0.4, 0.2222222222222222, 0.125, 0.14285714285714285]",0.7165313105737893,0.75,9,12,0.8696326017379761,0.8925321698188782,-1.3575574,-1.3999732
28,where did the young man go after he left his home ?,explicit,"' i will give them , ' answered the man , and he took the horse , and the youth took the gun and the dog and the falcon , and went home with them . but when his mother heard what he had done she was very angry , and beat him with a stick which she had in her hand . ' that will teach you to sell my property , ' said she , when her arm was quite tired , but ian her son answered her nothing , and went off to his bed , for he was very sore . that night he rose softly , and left the house carrying th",a farm - house .,a farm - house .,The young man went to the farm,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.18575057999133598,"[0.25, 0.14285714285714285, 0.16666666666666666, 0.2]",1.0,1.4,7,5,0.18575057999133598,"[0.25, 0.14285714285714285, 0.16666666666666666, 0.2]",1.0,1.4,7,5,0.8730342984199524,0.8730342984199524,-0.88932425,-0.88932425
29,what happened to the roses when the wife put the wreath on her daughter's head ?,explicit,"' how absurd to walk about on such a pouring night , dressed up like that , ' she remarked crossly , and roughly pulled off the wreath as she spoke , to place it on her own daughter . as she did so the roses became withered and brown , and the birds flew out of the window . ' see what a trumpery thing it is ! ' cried the stepmother ; ' and now take your supper and go to bed , for it is near upon midnight . ' but though she pretended to despise the wreath , she longed none the less for her daught",withered and browned .,"the roses became withered and brown , and the birds flew out of the window .",They became withered and brown,0.5,0.3333333333333333,0.5,0.5,0.4210526315789473,0.3529411764705882,0.4210526315789473,0.4210526315789473,0.35930411196308426,"[0.5, 0.4, 0.25, 0.3333333333333333]",1.0,1.25,5,4,0.08419219380660595,"[0.8333333333333334, 0.8, 0.75, 0.6666666666666666]",0.11080315836233387,0.3125,5,16,0.9127907752990723,0.9174243211746216,-0.56658036,-1.0040011
30,what did the widowed mistress do after the old woman disappeared ?,explicit,""" ye promised me what i liked to ask , and i have asked your son ; and your son i will have , "" she replied , "" so it is useless making such a din about it . but one thing i may tell you , for i know well that the knowledge will not help you . by the laws of fairy - land , i can not take the bairn till the third day after this , and if by that time you have found out my name i can not take him even then . but ye will not be able to find it out , of that i am certain . so i will call back for the",fell down in a dead faint beside the stone .,fall down in a dead faint beside the stone .,None of the above choices,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.10043553373039076,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.36787944117144233,0.5,5,10,0.10043553373039076,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.36787944117144233,0.5,5,10,0.8238067626953125,0.8411755561828613,-1.3842559,-1.3874786
31,why did the prince not tell his mother the truth ?,explicit,"the queen spoke several times to her son , to inform herself after what manner he did pass his time , and that in this he ought in duty to satisfy her . but he never dared to trust her with his secret ; he feared her , though he loved her , for she was of the race of the ogres , and the king would never have married her had it not been for her vast riches ; it was even whispered about the court that she had ogreish inclinations , and that , whenever she saw little children passing by , she had a",she was of the race of the ogres .,she was the race of the ogres .,The prince did not want to marry her .,0.125,0.0,0.125,0.125,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.14113991930789777,"[0.2, 0.1111111111111111, 0.125, 0.14285714285714285]",1.0,1.0,9,9,0.14113991930789777,"[0.2, 0.1111111111111111, 0.125, 0.14285714285714285]",1.0,1.125,9,8,0.8734922409057617,0.8617404103279114,-1.4754725,-1.5279007
32,what did each fish carry ?,explicit,"at last they returned to the palace bringing with them a lovely young dragon . her scales were of glittering green like the wings of summer beetles , her eyes threw out glances of fire , and she was dressed in gorgeous robes . all the jewels of the sea worked in with embroidery adorned them . the king fell in love with her at once , and the wedding ceremony was celebrated with great splendor . every living thing in the sea , from the great whales down to the little shrimps , came in shoals to of",phosphorescent lantern .,a phosphorescent lantern .,Each fish carried a phosphorescent lantern,0.5,0.33333333333333337,0.5,0.5,0.6666666666666666,0.5714285714285715,0.6666666666666666,0.6666666666666666,0.2907153684841096,"[0.42857142857142855, 0.3333333333333333, 0.2, 0.25]",1.0,2.0,6,3,0.4111336169005197,"[0.5714285714285714, 0.5, 0.4, 0.25]",1.0,1.5,6,4,0.8628493547439575,0.9078931212425232,-0.25843847,-0.28647035
